,month,year,latitude,longitude,co2
384,0,2000,35.1,-114.5,24.55026619
421,0,2000,33.3,-112.8,4.388262929
426,0,2000,39.5,-112.5,13.31468501
466,0,2000,36.9,-111.3,16.4339537
470,0,2000,39.1,-111.1,10.03961862
472,0,2000,39.3,-111,6.069386116
474,0,2000,29,-110.9,2.431313016
486,0,2000,41.7,-110.5,5.686334058
491,0,2000,34.9,-110.3,6.66866338
498,0,2000,34.4,-109.2,5.529225629
500,0,2000,34.3,-109.1,5.463358408
505,0,2000,41.7,-108.8,15.88877547
511,0,2000,36.6,-108.4,14.21323669
512,0,2000,36.8,-108.4,12.71507653
528,0,2000,40.4,-107.5,9.850504808
540,0,2000,45.8,-106.6,18.77701559
552,0,2000,42.8,-105.7,6.72975272
557,0,2000,49,-105.4,11.0444176
558,0,2000,44.2,-105.3,5.472049001
572,0,2000,42.1,-104.9,13.94017668
617,0,2000,49,-103,16.48930687
620,0,2000,49,-102.8,5.585770472
630,0,2000,34.1,-102.5,6.682234991
646,0,2000,47.3,-101.8,7.988349898
651,0,2000,35.2,-101.7,7.981689625
668,0,2000,47.2,-101.3,5.556982367
671,0,2000,47,-101.2,6.443850718
672,0,2000,41,-101.1,9.826971371
675,0,2000,47.3,-101.1,11.43782929
682,0,2000,28.3,-100.8,4.902468918
757,0,2000,29.4,-98.4,5.53116401
798,0,2000,25.8,-97.8,4.024838374
861,0,2000,30.5,-97,12.87949765
865,0,2000,36.4,-97,6.420758116
891,0,2000,29.9,-96.7,10.12975302
919,0,2000,42.2,-96.3,5.949334409
920,0,2000,42.3,-96.3,4.9828958
924,0,2000,31.4,-96.2,11.65121264
930,0,2000,39.2,-96.1,15.07877991
938,0,2000,31.8,-96,8.125541746
956,0,2000,41.1,-95.8,5.825456625
963,0,2000,40.6,-95.7,4.576517462
966,0,2000,29.4,-95.6,18.30816912
989,0,2000,36.1,-95.3,6.37087119
1000,0,2000,35.7,-95.2,9.517357357
1023,0,2000,33,-95,14.20726419
1038,0,2000,33,-94.8,10.04645982
1060,0,2000,38.3,-94.6,10.68449291
1064,0,2000,32.2,-94.5,17.80835807
1133,0,2000,45.3,-93.8,17.18920312
1151,0,2000,47.2,-93.6,7.820921317
1153,0,2000,32,-93.5,5.063801531
1175,0,2000,30.2,-93.2,8.229288425
1221,0,2000,39.5,-92.6,7.805942332
1230,0,2000,41,-92.5,4.933303844
1260,0,2000,34.4,-92.1,10.63458889
1331,0,2000,35.6,-91.4,10.24456833
1335,0,2000,30.7,-91.3,11.50642993
